ranking,player_image,name,position,age,nation_image,nation,team_image,team,value
287,https://img.a.transfermarkt.technology/portrait/small/361260-1547655969.jpg?lm=1,Ozan Kabak,Centre-Back,21,https://tmssl.akamaized.net/images/flagge/verysmall/174.png?lm=1520611569,Turkey,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,Liverpool FC,€25.00m
288,https://img.a.transfermarkt.technology/portrait/small/361104-1581956984.jpg?lm=1,Sergiño Dest,Right-Back,20,https://tmssl.akamaized.net/images/flagge/verysmall/184.png?lm=1520611569,United States,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,FC Barcelona,€25.00m
289,https://img.a.transfermarkt.technology/portrait/small/357498-1594713085.jpg?lm=1,Dusan Vlahovic,Centre-Forward,21,https://tmssl.akamaized.net/images/flagge/verysmall/215.png?lm=1520611569,Serbia,https://tmssl.akamaized.net/images/wappen/verysmall/430.png?lm=1520933432,ACF Fiorentina,€25.00m
290,https://img.a.transfermarkt.technology/portrait/small/355915-1595857770.jpg?lm=1,Cristian Romero,Centre-Back,23,https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569,Argentina,https://tmssl.akamaized.net/images/wappen/verysmall/800.png?lm=1438547428,Atalanta BC,€25.00m
291,https://img.a.transfermarkt.technology/portrait/small/354361-1619693816.jpg?lm=1,André Zambo Anguissa,Defensive Midfield,25,https://tmssl.akamaized.net/images/flagge/verysmall/31.png?lm=1520611569,Cameroon,https://tmssl.akamaized.net/images/wappen/verysmall/931.png?lm=1556831687,Fulham FC,€25.00m
292,https://img.a.transfermarkt.technology/portrait/small/343475-1543494231.jpg?lm=1,Ben Godfrey,Centre-Back,23,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/29.png?lm=1445949846,Everton FC,€25.00m
293,https://img.a.transfermarkt.technology/portrait/small/335721-1571052198.jpg?lm=1,Ben White,Centre-Back,23,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/1237.png?lm=1492718902,Brighton & Hove Albion,€25.00m
294,https://img.a.transfermarkt.technology/portrait/small/332697-1531813364.jpg?lm=1,Weston McKennie,Central Midfield,22,https://tmssl.akamaized.net/images/flagge/verysmall/184.png?lm=1520611569,United States,https://tmssl.akamaized.net/images/wappen/verysmall/506.png?lm=1594291454,Juventus FC,€25.00m
295,https://img.a.transfermarkt.technology/portrait/small/315063-1594709635.jpg?lm=1,Nahitan Nández,Central Midfield,25,https://tmssl.akamaized.net/images/flagge/verysmall/179.png?lm=1520611569,Uruguay,https://tmssl.akamaized.net/images/wappen/verysmall/1390.png?lm=1438548383,Cagliari Calcio,€25.00m
296,https://img.a.transfermarkt.technology/portrait/small/292818-1599420401.jpg?lm=1,Jonathan Bamba,Left Winger,25,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/1082.png?lm=1529521041,LOSC Lille,€25.00m
297,https://img.a.transfermarkt.technology/portrait/small/284730-1615389562.jpg?lm=1,Manuel Akanji,Centre-Back,25,https://tmssl.akamaized.net/images/flagge/verysmall/148.png?lm=1520611569,Switzerland,https://tmssl.akamaized.net/images/wappen/verysmall/16.png?lm=1396275280,Borussia Dortmund,€25.00m
298,https://img.a.transfermarkt.technology/portrait/small/284165-1548177491.jpg?lm=1,Steven Bergwijn,Left Winger,23,https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569,Netherlands,https://tmssl.akamaized.net/images/wappen/verysmall/148.png?lm=1544345801,Tottenham Hotspur,€25.00m
299,https://img.a.transfermarkt.technology/portrait/small/282429-1559807731.png?lm=1,Sergio Reguilón,Left-Back,24,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Spain,https://tmssl.akamaized.net/images/wappen/verysmall/148.png?lm=1544345801,Tottenham Hotspur,€25.00m
300,https://img.a.transfermarkt.technology/portrait/small/277114-1542606481.jpg?lm=1,Jason Denayer,Centre-Back,25,https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569,Belgium,https://tmssl.akamaized.net/images/wappen/verysmall/1041.png?lm=1581024966,Olympique Lyon,€25.00m
301,https://img.a.transfermarkt.technology/portrait/small/262523-1595926678.jpg?lm=1,Davide Calabria,Right-Back,24,https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569,Italy,https://tmssl.akamaized.net/images/wappen/verysmall/5.png?lm=1605166627,AC Milan,€25.00m
302,https://img.a.transfermarkt.technology/portrait/small/256977-1510679159.jpg?lm=1,Daniel Podence,Right Winger,25,https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569,Portugal,https://tmssl.akamaized.net/images/wappen/verysmall/543.png?lm=1467496784,Wolverhampton Wanderers,€25.00m
303,https://img.a.transfermarkt.technology/portrait/small/255508-1447151736.jpg?lm=1,Iñaki Williams,Centre-Forward,26,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Spain,https://tmssl.akamaized.net/images/wappen/verysmall/621.png?lm=1565768743,Athletic Bilbao,€25.00m
304,https://img.a.transfermarkt.technology/portrait/small/243028-1493557261.jpg?lm=1,Jan Bednarek,Centre-Back,25,https://tmssl.akamaized.net/images/flagge/verysmall/135.png?lm=1520611569,Poland,https://tmssl.akamaized.net/images/wappen/verysmall/180.png?lm=1444560086,Southampton FC,€25.00m
305,https://img.a.transfermarkt.technology/portrait/small/242086-1615896966.jpg?lm=1,Patrik Schick,Centre-Forward,25,https://tmssl.akamaized.net/images/flagge/verysmall/172.png?lm=1520611569,Czech Republic,https://tmssl.akamaized.net/images/wappen/verysmall/15.png?lm=1403163785,Bayer 04 Leverkusen,€25.00m
306,https://img.a.transfermarkt.technology/portrait/small/238266-1501067793.jpg?lm=1,Duje Caleta-Car,Centre-Back,24,https://tmssl.akamaized.net/images/flagge/verysmall/37.png?lm=1520611569,Croatia,https://tmssl.akamaized.net/images/wappen/verysmall/244.png?lm=1485642163,Olympique Marseille,€25.00m
307,https://img.a.transfermarkt.technology/portrait/small/229005-1602849224.jpg?lm=1,Abdou Diallo,Centre-Back,24,https://tmssl.akamaized.net/images/flagge/verysmall/149.png?lm=1520611569,Senegal,https://tmssl.akamaized.net/images/wappen/verysmall/583.png?lm=1522312728,Paris Saint-Germain,€25.00m
308,https://img.a.transfermarkt.technology/portrait/small/229004-1582554502.jpg?lm=1,Moussa Dembélé,Centre-Forward,24,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,Atlético Madrid,€25.00m
309,https://img.a.transfermarkt.technology/portrait/small/228948-1602848776.jpg?lm=1,Thilo Kehrer,Centre-Back,24,https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525,Germany,https://tmssl.akamaized.net/images/wappen/verysmall/583.png?lm=1522312728,Paris Saint-Germain,€25.00m
310,https://img.a.transfermarkt.technology/portrait/small/205938-1594708554.jpg?lm=1,Mario Pasalic,Central Midfield,26,https://tmssl.akamaized.net/images/flagge/verysmall/37.png?lm=1520611569,Croatia,https://tmssl.akamaized.net/images/wappen/verysmall/800.png?lm=1438547428,Atalanta BC,€25.00m
311,https://img.a.transfermarkt.technology/portrait/small/205562-1598303859.jpg?lm=1,Thomas Lemar,Attacking Midfield,25,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,Atlético Madrid,€25.00m
312,https://img.a.transfermarkt.technology/portrait/small/203496-1448021651.jpg?lm=1,Nabil Fekir,Attacking Midfield,27,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/150.png?lm=1407484550,Real Betis Balompié,€25.00m
313,https://img.a.transfermarkt.technology/portrait/small/191217-1464872060.jpg?lm=1,Héctor Bellerín,Right-Back,26,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Spain,https://tmssl.akamaized.net/images/wappen/verysmall/11.png?lm=1489787850,Arsenal FC,€25.00m
314,https://img.a.transfermarkt.technology/portrait/small/187492-1615389334.jpg?lm=1,Julian Brandt,Attacking Midfield,25,https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525,Germany,https://tmssl.akamaized.net/images/wappen/verysmall/16.png?lm=1396275280,Borussia Dortmund,€25.00m
315,https://img.a.transfermarkt.technology/portrait/small/183288-1469631475.jpg?lm=1,Luke Shaw,Left-Back,25,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,Manchester United,€25.00m
316,https://img.a.transfermarkt.technology/portrait/small/182906-1598303138.jpg?lm=1,Mike Maignan,Goalkeeper,25,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/1082.png?lm=1529521041,LOSC Lille,€25.00m
317,https://img.a.transfermarkt.technology/portrait/small/182904-1599988301.jpg?lm=1,Clément Lenglet,Centre-Back,25,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,FC Barcelona,€25.00m
318,https://img.a.transfermarkt.technology/portrait/small/182618-1448024950.jpg?lm=1,Tiemoué Bakayoko,Defensive Midfield,26,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/6195.png?lm=1437135876,SSC Napoli,€25.00m
319,https://img.a.transfermarkt.technology/portrait/small/175722-1490363990.jpg?lm=1,Eric Dier,Centre-Back,27,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/148.png?lm=1544345801,Tottenham Hotspur,€25.00m
320,https://img.a.transfermarkt.technology/portrait/small/173504-1520607439.jpg?lm=1,James Tarkowski,Centre-Back,28,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/1132.png?lm=1587809239,Burnley FC,€25.00m
321,https://img.a.transfermarkt.technology/portrait/small/167329-1533289187.jpg?lm=1,Alassane Plea,Centre-Forward,28,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/18.png?lm=1483890536,Borussia Mönchengladbach,€25.00m
322,https://img.a.transfermarkt.technology/portrait/small/165895-1596098960.jpg?lm=1,Matteo Politano,Right Winger,27,https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569,Italy,https://tmssl.akamaized.net/images/wappen/verysmall/6195.png?lm=1437135876,SSC Napoli,€25.00m
323,https://img.a.transfermarkt.technology/portrait/small/158863-1447314170.jpg?lm=1,Iñigo Martínez,Centre-Back,29,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Spain,https://tmssl.akamaized.net/images/wappen/verysmall/621.png?lm=1565768743,Athletic Bilbao,€25.00m
324,https://img.a.transfermarkt.technology/portrait/small/157635-1503304546.jpg?lm=1,Yussuf Poulsen,Centre-Forward,26,https://tmssl.akamaized.net/images/flagge/verysmall/39.png?lm=1520611569,Denmark,https://tmssl.akamaized.net/images/wappen/verysmall/23826.png?lm=1619431624,RB Leipzig,€25.00m
325,https://img.a.transfermarkt.technology/portrait/small/148153-1461139711.jpg?lm=1,Lewis Dunk,Centre-Back,29,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/1237.png?lm=1492718902,Brighton & Hove Albion,€25.00m
